rank_asc,netuid,distinct_miner_coldkeys_emission_gt0,validators_vtrust_gt_0_98
1,126,0,7
2,125,0,11
3,124,0,12
4,122,0,9
5,121,0,13
6,119,0,10
7,117,0,8
8,115,0,19
9,113,0,8
10,112,0,13
11,110,0,15
12,109,0,13
13,108,0,11
14,107,0,9
15,106,0,9
16,102,0,8
17,101,0,12
18,98,0,11
19,97,0,5
20,96,0,5
21,95,0,12
22,92,0,11
23,91,0,8
24,90,0,11
25,87,0,8
26,84,0,10
27,76,0,9
28,69,0,15
29,67,0,6
30,63,0,12
31,62,0,13
32,60,0,9
33,58,0,15
34,55,0,7
35,53,0,13
36,52,0,12
37,47,0,11
38,46,0,9
39,38,0,10
40,37,0,13
41,31,0,13
42,30,0,9
43,29,0,8
44,27,0,13
45,26,0,13
46,25,0,10
47,24,0,8
48,23,0,11
49,21,0,12
50,19,0,14
51,10,0,14
52,7,0,13
53,3,0,3
54,0,0,0
55,116,1,13
56,105,1,4
57,104,1,1
58,99,1,3
59,94,1,10
60,86,1,10
61,81,1,4
62,80,1,4
63,70,1,2
64,66,1,10
65,49,1,10
66,48,1,9
67,43,1,6
68,40,1,12
69,39,1,9
70,28,1,14
71,20,1,9
72,17,1,7
73,15,1,11
74,12,1,7
75,11,1,5
76,9,1,10
77,5,1,14
78,89,2,11
79,73,2,11
80,68,2,1
81,44,2,7
82,36,2,9
83,35,2,10
84,1,2,9
85,127,3,11
86,56,4,13
87,45,4,12
88,18,4,7
89,4,4,1
90,120,5,10
91,32,5,1
92,93,6,7
93,14,6,12
94,83,8,10
95,77,8,11
96,85,9,1
97,16,9,15
98,33,10,11
99,22,10,1
100,54,12,4
101,2,12,1
102,41,14,10
103,114,15,8
104,111,17,1
105,74,17,10
106,42,18,6
107,103,19,5
108,59,23,7
109,51,29,9
110,34,29,7
111,128,30,12
112,79,30,1
113,64,30,8
114,71,33,1
115,61,35,12
116,72,37,2
117,100,40,5
118,8,41,6
119,65,43,5
120,50,45,7
121,57,52,9
122,75,70,9
123,118,75,14
124,13,82,3
125,123,90,2
126,78,116,3
127,88,146,12
128,6,152,11
129,82,199,1
